Acronym,Year,SampleStartYear,SampleEndYear,is_start,is_end,is_sharpe,is_n_months,post_start,post_end,post_sharpe,post_n_months,full_sharpe,full_n_months,reported_return_monthly_pct,reported_tstat,reported_sharpe_annualized
CoskewACX,2006,1963,2001,1963-01-01,2001-12-31,0.4615131946657009,468,2007-01-01,2024-12-31,0.27098325009525753,216,0.41440148691579415,749,0.28,2.76,0.4419537045020404
CPVolSpread,2009,1996,2004,1996-01-01,2004-12-31,1.0597997131187427,107,2010-01-01,2024-12-31,0.8978683525694248,157,0.9165418522972941,324,1.045,4.2,1.4065268419085877
dVolCall,2014,1996,2011,1996-01-01,2011-12-31,0.7252935649699923,190,2015-01-01,2024-12-31,0.847289624250253,97,0.6624172686379131,323,1.09,3.45,0.8670275901638097
dVolPut,2014,1996,2011,1996-01-01,2011-12-31,0.3301085552255259,190,2015-01-01,2024-12-31,0.34062926564628143,97,0.337809254721988,323,0.42,2.03,0.5101640602992851
dCPVolSpread,2014,1996,2011,1996-01-01,2011-12-31,1.8573992530431331,190,2015-01-01,2024-12-31,1.2003227098778082,97,1.5470118085813485,323,-1.68,6.77,1.701384575480867
CredRatDG,2001,1986,1998,1986-01-01,1998-12-31,0.643027456008929,156,2002-01-01,2024-12-31,0.21370381812736758,276,0.41497932392266734,658,1.316666667,11.04,3.0619450831632644
CustomerMomentum,2008,1980,2004,1980-01-01,2004-12-31,0.6162063633674334,300,2009-01-01,2024-12-31,0.38199204362987427,192,0.47716015194415345,570,1.578,3.79,0.7579999999999999
DelBreadth,2002,1979,1998,1979-01-01,1998-12-31,0.8547512990688645,222,2003-01-01,2024-12-31,0.300230017132813,264,0.4708795120615963,534,0.673333333,3.96,0.9206812988510487
DelCOA,2005,1962,2001,1962-01-01,2001-12-31,0.9608752570384866,480,2006-01-01,2024-12-31,0.3073005559281606,228,0.7633724954909092,870,,8.71,1.377171921003329
DelCOL,2005,1962,2001,1962-01-01,2001-12-31,0.6976412380315211,480,2006-01-01,2024-12-31,0.19555180038348371,228,0.4492374455394795,870,,4.49,0.7099313347078011
DelEqu,2005,1963,2001,1963-01-01,2001-12-31,0.5093694698549063,468,2006-01-01,2024-12-31,0.3601511439070925,228,0.5357763829147909,750,,6.25,1.0008009612817945
DelFINL,2005,1962,2001,1962-01-01,2001-12-31,1.9060873899101962,480,2006-01-01,2024-12-31,0.4590451476754806,228,1.2531100741718288,870,,8.01,1.2664922028974357
DelLTI,2005,1962,2001,1962-01-01,2001-12-31,0.39185317448098883,480,2006-01-01,2024-12-31,0.3899300292033116,228,0.46704890358079204,858,,3.38,0.5344249245684561
DelNetFin,2005,1962,2001,1962-01-01,2001-12-31,1.4095713248927024,480,2006-01-01,2024-12-31,0.05414819163019817,228,0.7222314258397036,870,,5.85,0.9249662155992509
DivInit,1995,1964,1988,1964-01-01,1988-12-31,1.1346036897738663,300,1996-01-01,2024-12-31,0.25199794140541565,348,0.3494410223861144,1187,0.625,3.37,0.6739999999999999
DivOmit,1995,1964,1988,1964-01-01,1988-12-31,0.5725876170812166,300,1996-01-01,2024-12-31,0.5484377209216366,347,0.4771406644257635,1140,0.916666667,6.33,1.2659999999999998
DivSeason,2013,1927,2011,1927-01-01,2011-12-31,1.5307209222133629,1020,2014-01-01,2024-12-31,0.6361920104840653,132,1.3964078802653037,1184,0.36,16.19363096,1.7564458889495824
DivYieldST,1979,1936,1977,1936-01-01,1977-12-31,0.8351200938133746,501,1980-01-01,2024-12-31,1.4331937794739131,540,1.0643074314114986,1181,,6.3,0.9750172729930123
dNoa,2004,1964,2002,1964-01-01,2002-12-31,1.4903328077068045,468,2005-01-01,2024-12-31,0.37331353974103426,240,1.0664792648570751,750,,8.85,1.417134161175021
DolVol,1998,1966,1995,1966-01-01,1995-12-31,0.5048529388987357,360,1999-01-01,2024-12-31,0.3700508398995542,312,0.41623551126014047,1185,,2.86,0.5221621714882584
EarningsConsistency,2009,1971,2002,1971-01-01,2002-12-31,0.44387641472876205,384,2010-01-01,2024-12-31,0.5389332169179987,180,0.5158273250072002,858,0.360833333,2.67,0.47199377644202045
EarningsForecastDisparity,2011,1983,2006,1983-01-01,2006-12-31,0.8848239695636831,288,2012-01-01,2024-12-31,0.198663518403262,156,0.5537931178214712,516,0.48,5.08,1.0369506577782122
EarningsStreak,2012,1987,2009,1987-01-01,2009-12-31,2.200934769839766,276,2013-01-01,2024-12-31,1.2347961011973407,144,1.676127936111644,482,0.957,9.51,1.9829720776827808
EarningsSurprise,1984,1974,1981,1974-01-01,1981-12-31,1.7170553901880585,96,1985-01-01,2024-12-31,0.7706095995646164,480,1.1627046913697574,739,2.975,,
EarnSupBig,2007,1972,2001,1972-01-01,2001-12-31,0.4312221021520119,360,2008-01-01,2024-12-31,0.4849075057237519,204,0.48263499384137043,739,,8.91,1.6267359957903433
EBM,2007,1963,2001,1963-01-01,2001-12-31,0.6504886246280834,468,2008-01-01,2024-12-31,0.41782272754441935,204,0.497379862744085,750,0.12,3.0,0.4803844614152613
EntMult,2011,1963,2009,1963-01-01,2009-12-31,0.8191801754127352,564,2012-01-01,2024-12-31,0.23558025836613827,156,0.6641959084545891,882,0.95,6.54,0.9539570443962303
EP,1977,1957,1971,1957-01-01,1971-12-31,0.5337445934122783,180,1978-01-01,2024-12-31,0.24482700599563603,564,0.370459796715096,888,0.58,,
EquityDuration,2004,1962,1998,1962-01-01,1998-12-31,0.557434913639467,426,2005-01-01,2024-12-31,0.007551796851984547,240,0.4131529256890086,738,0.5,4.368488219,0.7331907754647007
ExchSwitch,1995,1962,1990,1962-01-01,1990-12-31,0.5433783597933999,338,1996-01-01,2024-12-31,0.7012372829937801,348,0.6617687128494629,746,0.455,3.61,0.6802044593420978
ExclExp,2003,1988,1999,1988-01-01,1999-12-31,0.8316809041818237,144,2004-01-01,2024-12-31,0.12287356869688945,252,0.13918052794581623,488,,6.78,1.9572174125528314
FEPS,2006,1983,2002,1983-01-01,2002-12-31,0.6859406862474475,240,2007-01-01,2024-12-31,0.41175518857355453,216,0.48926916714819574,587,1.199,2.66,0.594794082014944
fgr5yrLag,1996,1983,1990,1983-01-01,1990-12-31,0.7370614476165568,96,1997-01-01,2024-12-31,-0.0003206634577800551,336,0.09511621031092739,510,,4.9,1.7324116139070418
FirmAgeMom,2006,1983,2001,1983-01-01,2001-12-31,1.3249766296311956,228,2007-01-01,2024-12-31,0.5994898789737628,216,0.7214050121143795,1164,2.9,7.21,1.6540874412067503
ForecastDispersion,2002,1976,2000,1976-01-01,2000-12-31,0.7111752659425453,299,2003-01-01,2024-12-31,0.2785065791417478,264,0.4590164826507257,587,0.79,2.88,0.5769624066861696
Frontier,2009,1980,2003,1980-01-01,2003-12-31,1.2614606229807395,288,2010-01-01,2024-12-31,0.2779857712247651,180,0.7874275374340169,738,0.96,4.863206041,0.9926977762058906
Governance,2003,1990,1999,1990-01-01,1999-12-31,0.6931500923803348,111,2004-01-01,2024-12-31,-0.9706851661798412,38,-0.1438265050165316,197,0.72,2.769230769,0.9105174680768716
GP,2013,1963,2010,1963-01-01,2010-12-31,0.3462623350537213,576,2014-01-01,2024-12-31,0.800014473983011,132,0.48899702383770016,882,0.31,2.49,0.35940054257054205
GrAdExp,2014,1974,2010,1974-01-01,2010-12-31,0.6242467547875923,444,2015-01-01,2024-12-31,0.16545247186883585,120,0.2050602033742666,714,0.58,3.54,0.5819724150609648
grcapx,2006,1976,1999,1976-01-01,1999-12-31,1.056997732726265,288,2007-01-01,2024-12-31,0.3485229422887436,216,0.7406233630773065,858,0.57,5.05,1.0308269334212543
grcapx3y,2006,1976,1999,1976-01-01,1999-12-31,0.9586044228932262,288,2007-01-01,2024-12-31,0.09073571157502479,216,0.6511469036571963,846,0.6,4.71,0.9614247240423974
Herf,2006,1963,2001,1963-01-01,2001-12-31,0.3762815560094156,468,2007-01-01,2024-12-31,-0.40135040126367677,216,0.012088134978483206,887,0.26,2.14,0.3426742491428864
HerfBE,2006,1963,2001,1963-01-01,2001-12-31,0.32942451912246784,468,2007-01-01,2024-12-31,-0.4438047671317023,216,0.02952827339266773,877,0.24,2.52,0.4035229475888195
hire,2014,1965,2010,1965-01-01,2010-12-31,0.8315745542399133,546,2015-01-01,2024-12-31,0.25867168212649766,120,0.7143472558156471,714,0.87,5.78,0.856884210060233
IdioVol3F,2006,1963,2000,1963-01-01,2000-12-31,0.5237146560038494,456,2007-01-01,2024-12-31,0.16304176993517613,216,0.27720878218859835,1181,1.06,3.1,0.5028864055053638
IdioVolAHT,2003,1976,1997,1976-01-01,1997-12-31,0.5390495187218096,264,2004-01-01,2024-12-31,0.12172947869784934,252,0.11267077022347567,1170,,2.699,0.5754287334437924
Illiquidity,2002,1964,1997,1964-01-01,1997-12-31,0.4829235022876808,408,2003-01-01,2024-12-31,0.07656134081661509,264,0.29274047396320513,1170,,6.6,1.1318906619405584
IndIPO,1991,1975,1987,1975-01-01,1987-12-31,0.6670291675899909,152,1992-01-01,2024-12-31,0.4286449022820741,396,0.4629658077587032,596,0.8525,3.97,1.1154737015937977
IndMom,1999,1963,1995,1963-01-01,1995-12-31,0.4166931201742358,396,2000-01-01,2024-12-31,0.25469173744660417,300,0.3871543843587671,1182,0.43,4.65,0.809461100193995
IndRetBig,2007,1972,2001,1972-01-01,2001-12-31,1.742199719030452,360,2008-01-01,2024-12-31,0.5653337016044824,204,1.1856928087228895,1187,,11.0,2.0083160441856087
IntanBM,2006,1968,2003,1968-01-01,2003-12-31,0.37846918214793657,432,2007-01-01,2024-12-31,0.08478617391149298,216,0.2835742471867814,702,,3.99,0.6649999999999999
IntanCFP,2006,1968,2003,1968-01-01,2003-12-31,0.3811246053259007,432,2007-01-01,2024-12-31,0.2672343021468618,216,0.33315768082992553,828,,4.89,0.815
IntanEP,2006,1968,2003,1968-01-01,2003-12-31,0.3957760824938977,432,2007-01-01,2024-12-31,0.25796592172854355,216,0.37871262293508856,822,,4.64,0.7733333333333332
IntanSP,2006,1968,2003,1968-01-01,2003-12-31,0.4166420833425675,432,2007-01-01,2024-12-31,0.1359730695385305,216,0.3300149061471301,822,,4.24,0.7066666666666667
IntMom,2012,1927,2010,1927-01-01,2010-12-31,0.6447330888207425,1008,2013-01-01,2024-12-31,0.3042372948554234,144,0.6000632345301089,1176,1.2,5.79,0.6317407922331978
Investment,2004,1973,1996,1973-01-01,1996-12-31,0.4671692051929787,288,2005-01-01,2024-12-31,0.09399156259947082,240,0.1912062060827778,858,0.168333333,2.86,0.5837950553633241
InvestPPEInv,2008,1970,2005,1970-01-01,2005-12-31,1.3121997415431301,432,2009-01-01,2024-12-31,0.4925530823732944,192,0.986913318836397,876,0.57,7.13,1.1883333333333332
InvGrowth,2012,1965,2009,1965-01-01,2009-12-31,1.1130071356866111,540,2013-01-01,2024-12-31,0.5446972204295117,144,0.9319790578899158,870,0.89,6.64,0.9898327580399068
iomom_cust,2010,1986,2005,1986-01-01,2005-12-31,0.3722761786827317,239,2011-01-01,2024-12-31,0.05047528687603883,168,0.3024210546958526,467,,4.11,0.9209445760380432
iomom_supp,2010,1986,2005,1986-01-01,2005-12-31,0.700332292073176,239,2011-01-01,2024-12-31,0.05678494095103423,168,0.40206900124710465,467,,5.03,1.127092753642666
Leverage,1988,1952,1981,1952-01-01,1981-12-31,0.47796488381031355,360,1989-01-01,2024-12-31,0.21039031524193896,432,0.3409004134818547,882,,3.93,0.7175165503317675
LRreversal,1985,1929,1982,1929-01-01,1982-12-31,0.41263497682166767,648,1986-01-01,2024-12-31,0.32133470459716545,468,0.3498531158520632,1152,0.105,3.29,0.4477122918753697
MaxRet,2011,1962,2005,1962-01-01,2005-12-31,0.4135053652660439,528,2012-01-01,2024-12-31,0.10508268324064436,156,0.2946419807504133,1187,1.03,2.83,0.4266385525775355
MeanRankRevGrowth,1994,1968,1990,1968-01-01,1990-12-31,0.8038697655651574,276,1995-01-01,2024-12-31,0.04491311354528917,360,0.3934462005160039,810,,,
Mom12m,1993,1964,1989,1964-01-01,1989-12-31,0.8787712242485446,312,1994-01-01,2024-12-31,0.3327032039528409,372,0.3810370605798146,1176,1.31,3.74,0.7334743454168082
Mom12mOffSeason,2008,1965,2002,1965-01-01,2002-12-31,0.7276125367247162,456,2009-01-01,2024-12-31,0.35108111644428636,192,0.48335812267859807,1186,1.17,4.2,0.6813299687492026
Mom6m,1993,1964,1989,1964-01-01,1989-12-31,0.7041943716845196,312,1994-01-01,2024-12-31,0.4259791401190291,372,0.2984711161231588,1182,0.84,2.44,0.47852336973716897
Mom6mJunk,2007,1985,2003,1985-01-01,2003-12-31,0.9719785423429714,228,2008-01-01,2024-12-31,0.21243687247385767,204,0.7152533531851408,658,2.12,4.29,0.9841934983047099
MomOffSeason,2008,1965,2002,1965-01-01,2002-12-31,0.7923889779676612,456,2009-01-01,2024-12-31,0.24944418332138496,192,0.5843888089135615,1175,1.25,5.6,0.90843995833227
